coded_to,user_common
XHG0902,ARB0881
JXH0493,BEC0505
KAT0489,BEC0505
RAM0447,ALD0544
DBB0384,ALD0544
CBB0365,DMG0358
GZC0735,VCY0751
IJM0444,VCY0751
FLM0213,CEB0210
MCS0035,CEB0210
LBF0214,CEB0210
FBA0348,SAK0375
BAM0611,BSA0431
TSB0437,BSA0431
DGF0443,BSA0431
BJH0811,SGG0787
WVB0539,CSH0626
ESJ0670,KNG0672
CCW0031,FUM0015
KJA0152,VSS0154
IEB0153,VSS0154
GBM0603,JAD0609
FSB0399,IKR0401
ALH0402,IKR0401
JER0404,IKR0401
LJT0817,SOF0808
AQD0820,SOF0808
RGN0408,RDT0424
HKB0418,RDT0424
DPM0423,RDT0424
CMM0487,CTW0500
IUY0279,CTW0500
MSD0939,JGM0934
PID0426,MKW0441
EPW0434,MKW0441
ANT0430,MKW0441
AMM0014,TCD0009
BBS0422,TCD0009
CKB0482,OBH0499
SEJ0677,BLS0678
DAL0673,BLS0678
FHO0630,MTB0620
LEM0605,MTB0620
CAA0612,MTB0620
DMM0623,MTB0620
SGM0021,BVC0790
KJM0887,BVC0790
GJD0298,BVC0790
MCF0327,RTO0313
LHL0309,RTO0313
ABC0174,RTO0313
IBM0671,KNG0672
TSR0676,KNG0672
MLP0668,KNG0672
BCB0679,KNG0672
ESJ0670,KNG0672
WBC0192,EWH0191
KBB0189,EWH0191
GCL0016,GLR0975
AOB0019,GLR0975
DLF0377,ASL0378
RAH0440,PID0426
HVB0037,PID0426
DGF0443,PID0426
ANT0430,PID0426
CAH0936,JGM0934
DVM0265,SJF0094
LDB0090,SJF0094
NMB0972,BNR0965
MAH0864,ZDW0859
LTS0860,ZDW0859
ALH0402,IKR0401
CCC0393,IKR0401
EIM0156,SRH0155
GCS0571,KCO0122
GTD0116,KCO0122
KJP0371,KRV0372
CMM0487,DGN0480
RHP0484,DGN0480
MMB0488,DGN0480
BXJ0010,SDF0017
TRK0914,CRK0916
RHY0079,HPH0075
HAH0248,HPH0075
TEB0251,HPH0075
KWC0004,TVS0006
HIA0414,TVS0006
CHG0146,TVS0006
HKI0171,JCR0172
BBG0325,JCR0172
KJW0416,EHB0420
KQS0415,EHB0420
AGB0186,SJC0333
MAE0331,SJC0333
COM0321,MBJ0312
NCO0666,MLP0668
CKB0427,OKB0439
IJM0444,OKB0439
PKB0429,OKB0439
ADF0397,AIS0405
CCC0393,AIS0405
JBM0350,AIS0405
BEC0505,SES0477
IMG0320,LOF0311
MCJ0324,LOF0311
COM0321,LOF0311
DBS0235,AKC0924
BMG0917,AKC0924
GRM0868,WXH0872
CJC0494,HCV0478
CWR0502,HCV0478
CMM0487,KBP0008
KBB0189,KBP0008
GZC0735,GQP0743
UFK0208,LBF0214
BDI0533,LCB0664
RHP0484,DGN0480
DDA0476,DGN0480
CJC0494,DGN0480
IRT0491,DGN0480
SAK0375,DMG0358
HDS0367,DMG0358
JRS0362,DMG0358
IRT0491,SES0477
CJC0494,SES0477
NRO0768,TYB0779
RLG0856,THR0873
WXH0872,THR0873
OCS0865,THR0873
FGW0853,THR0873
ENL0100,JIM0095
JCW0858,RJM0381
DID0650,JDC0030
RTO0313,KPR0497
BJW0619,KJS0618
DMM0623,KJS0618
ELB0847,KJS0618
AIM0627,KJS0618
AIM0627,ASG0048
EIM0156,NGF0157
HCW0419,MES0407
KQS0415,MES0407
NCK0421,MES0407
SDO0170,LOF0311
IJM0444,LOF0311
OMS0101,LOF0311
SAC0687,IAR0694
ASG0692,IAR0694
KKC0683,RNL0695
ASG0692,RNL0695
ECL0930,HLM0933
DHM0937,HLM0933
LBH0942,HLM0933
DSB0731,QRM0739
RSM0277,QRM0739
AMD0077,QRM0739
QPM0727,QRM0739
BSA0431,CNE0352
EPW0434,CNE0352
AMD0077,CNE0352
BIH0745,HJB0742
CQH0730,HJB0742
BJH0354,BEC0505
KPR0497,BEC0505
JMC0925,HDH0928
EMS0317,MBJ0312
BDV0168,MBJ0312
ABC0174,MBJ0312
IDO0176,MBJ0312
JCG0316,MBJ0312
KCF0045,ACC0042
JNA0559,GAF0570
IUB0565,GAF0570
CNE0352,PID0426
CSB0080,HPH0075
DIB0081,HPH0075
JCV0245,HPH0075
IIW0249,HPH0075
KBP0008,EWH0191
KBB0189,EWH0191
DMG0358,WPR0368
KAT0489,KCB0815
OCS0865,ZDW0859
ATE0869,ZDW0859
NSS0876,ZDW0859
HDD0789,ZDW0859
NKH0807,ADC0391
JBM0350,ADC0391
IJW0851,ATE0869
DLM0051,TVS0050
HLM0933,JGM0934
KSP0966,ASV0946
JJB0127,SAA0999
FDE0117,SAA0999
NHE0919,JMC0925
ABM0845,JMC0925
FIR0920,JMC0925
BMG0917,FIR0920
FAW0032,ACC0042
UIR0043,ACC0042
PID0426,OKB0439
BSA0431,OKB0439
ANT0430,OKB0439
JAM0382,WTF0387
EFS0882,SED0886
LJJ0905,SED0886
SLT0907,SED0886
IRM0931,MMG0943
GKO0078,RSM0277
OMS0101,RSM0277
CKB0482,SES0477
LRR0148,VMJ0147
TVS0006,VMJ0147
GRC0145,VMJ0147
VMJ0147,TVS0006
CKD0680,TVS0006
CHG0146,TVS0006
DAR0885,RVF0201
MKS0204,RVF0201
CBG0398,RVF0201
AAE0190,EWH0191
USH0199,EWH0191
BBS0422,RGN0408
HKB0418,RGN0408
EHB0420,RGN0408
NCK0421,RDT0424
KJW0416,RDT0424
MJB0588,JBD0616
SCF0608,JBD0616
EPW0434,RAS0432
BSH0445,RAS0432
PKB0429,RAS0432
ALC0788,WPE0538
NSC0597,WPE0538
JRG0207,LBF0214
XHW0498,CJC0494
SLT0907,TSG0906
NMS0280,BJM0111
DLM0051,KWC0004
MSS0001,KWC0004
HBO0413,MES0407
EHB0420,MES0407
JRG0207,SJO0209
TQS0212,SJO0209
FHO0630,CAA0612
AJH0175,BER0314
SOB0360,LBC0356
COF0120,BRM0995
EZT0640,HWH0646
SGG0787,VFM0814
SOF0808,VFM0814
BMT0528,BRB0355
BHC0665,BRB0355
IIL0513,BRB0355
MVB0515,BRB0355
ASG0048,IBP0883
BXJ0010,GLR0975
CTA0020,GLR0975
JPW0741,VCY0751
DJS0682,MDH0686
NAR0981,AIP0982
TDS0984,AIP0982
HAM0985,AIP0982
WKF0012,AIP0982
AMH0794,CNM0800
YEV0793,CNM0800
TLM0797,CNM0800
HPM0986,YCE0983
WAB0143,SPA0141
RCC0617,JAD0609
CRD0624,CAA0612
RKD0604,CAA0612
TET0621,CAA0612
HKR0628,CAA0612
CIG0052,TVS0050
RGG0064,TVS0050
LEM0605,DMM0623
BJW0619,DMM0623
WVB0539,DMM0623
NMC0486,DBW0483
CJC0494,DBW0483
LOM0086,DMK0257
VAA0087,DMK0257
ABC0253,DMK0257
PBP0002,TVS0006
CHG0146,TVS0006
UCS0227,OJK0233
KPC0073,PGC0066
TMA0069,PGC0066
CCL0068,PGC0066
GOK0238,PGC0066
UIR0043,BAL0044
EIS0041,BAL0044
MOS0047,BAL0044
MBJ0312,BAL0044
NNA0610,AJN0607
MTB0620,AJN0607
WGS0516,CAS0507
FRL0511,CAS0507
AIS0405,IKR0401
HJA0018,GCL0016
MSH0040,DFR0218
JBD0616,HKR0628
CNE0352,HPH0075
ICH0294,HPH0075
SDO0170,AJR0319
IMG0320,AJR0319
CPG0322,AJR0319
OCS0865,QOS0878
HDD0789,QOS0878
IAT0263,HCM0267
HPH0075,HCM0267
SJO0209,JRG0207
NAF0033,JRG0207
RNP0211,JRG0207
AIS0405,ADC0391
BAM0636,ADC0391
JER0404,ADC0391
KBG0549,PTH0552
RMW0542,PTH0552
OSH0655,KNW0644
GQF0659,KNW0644
AHG0634,KNW0644
HWH0646,KNW0644
PGC0066,HVF0067
CCL0068,HVF0067
GOK0238,HVF0067
LQP0508,MJM0510
YJF0532,MJM0510
IKR0401,RNP0211
JRG0207,RNP0211
KAC0124,TJD0996
ILJ0526,IIL0513
FKB0163,IIL0513
PIS0522,IIL0513
BRB0355,IIL0513
BMT0528,IIL0513
ACC0042,MOS0047
MSH0040,MOS0047
DFR0218,MOS0047
JTM0223,MOS0047
RDT0424,HIA0414
KJW0416,HIA0414
EHB0420,HIA0414
RAW0915,AKC0924
JCG0316,AKC0924
SCF0608,MTB0620
MDM0625,MTB0620
LIM0674,MTB0620
JMK0099,RAG0275
EHR0096,RAG0275
SGS0268,RAG0275
RAH0440,MKW0441
NCK0421,MES0407
BBS0422,MES0407
PLH0862,CLF0852
OCS0865,CLF0852
SAP0867,CLF0852
JIM0095,JMK0099
NCE0097,JMK0099
OMS0101,JMK0099
XAA0104,JMK0099
DVW0103,JMK0099
DGW0752,CQH0730
FBW0747,CQH0730
JPW0741,CQH0730
KWE0082,ARA0252
ZDW0859,FQA0854
PLH0862,FQA0854
GBM0603,HKR0628
CMB0912,MMG0943
RRA0938,MMG0943
HLM0933,MMG0943
ZKS0899,ARB0881
MIC0726,GZC0735
LTS0860,RUM0880
IMB0481,CWR0502
CMS0454,GZB0469
SVL0803,SSH0799
NAB0801,SSH0799
CMM0487,SES0477
RHP0484,SES0477
DBW0483,SES0477
OMM0944,RKF0164
LRR0148,NGF0157
FMG0527,BRB0355
GAF0570,DAG0558
SBH0537,DAG0558
WIQ0567,DAG0558
UAD0771,DAG0558
HSP0290,WVB0539
BEH0615,WVB0539
JER0404,AIS0405
KAL0395,AIS0405
KSP0357,LBC0356
MCT0720,MNC0717
KAT0489,SES0477
BEC0505,SES0477
NAB0801,CJF0802
ENL0100,GKO0078
ONL0276,GKO0078
KCB0815,AQD0820
WBC0192,BWP0202
MKS0204,BWP0202
QNF0205,BWP0202
SJC0333,NCH0179
NHH0185,NCH0179
ORM0669,MLP0668
IBM0671,MLP0668
JNJ0556,PMJ0564
ZJS0269,RAG0275
MAS0025,HAM0985
QCH0110,IUY0279
MAD0753,DSB0731
FTM0406,HRB0351
KQS0415,HRB0351
HKB0418,HRB0351
NCK0421,HRB0351
MAH0864,SVS0871
WDO0870,SVS0871
HDS0367,DMG0358
CPG0322,MBJ0312
IMG0320,MBJ0312
MCS0035,RNP0211
JZD0888,BVC0790
WBC0192,KBB0189
BTN0061,KBB0189
KNW0644,BAM0636
CCL0068,BAM0636
AGB0643,BAM0636
NNA0610,MTB0620
HKR0628,MTB0620
NCE0097,ATF0274
RSM0277,ATF0274
IBS0836,EMS0317
MSZ0310,EMS0317
BWP0202,WBC0192
AMM0014,LNS0989
KVT0028,LNS0989
QPM0727,KES0729
JOM0750,KES0729
MAD0753,KES0729
PGO0433,HWW0436
JAD0609,HKR0628
FHO0630,HKR0628
JPW0741,CQH0730
DSB0731,CQH0730
EZH0736,CQH0730
JAV0361,LBC0356
FWM0707,GDF0704
RYB0718,GDF0704
CLH0703,GDF0704
FKB0163,RKF0164
DJB0159,RKF0164
ZSB0649,HRL0540
XRS0633,HRL0540
BTR0403,AIS0405
VCC0396,AIS0405
QNF0205,WBC0192
UIR0043,FAW0032
CNM0800,CJF0802
YEV0793,CJF0802
SVL0803,CJF0802
AAE0190,EWH0191
BBS0422,NDM0417
HRB0351,NDM0417
DGN0480,DBW0483
SMY0792,OCB0805
AAF0791,OCB0805
DLM0051,KWC0004
KBP0008,KWC0004
TVS0006,KWC0004
HCS0003,KWC0004
BXJ0010,HJA0018
MGS0974,HJA0018
VCY0751,GZC0735
DBG0261,PES0085
DMK0257,PES0085
AIH0675,CMB0912
NRF0137,CMB0912
WTF0387,DTP0379
CAS0507,FSB0399
MSD0939,SVL0940
LBH0942,SVL0940
CAH0936,SVL0940
SBQ0786,CUD0795
CNM0800,CUD0795
AMH0794,CUD0795
TLM0797,CUD0795
HDS0367,SAK0375
AJF0370,SAK0375
ARD0509,BRB0355
ALD0529,BRB0355
TTD1000,BRB0355
ETR0177,BRB0355
IIW0249,ONW0083
MHG0244,ONW0083
HAD0246,ONW0083
SSG0250,ONW0083
KTG0091,IAT0263
AMD0077,IAT0263
JLM0364,SAK0375
JGM0934,DHM0937
JMC0925,HDH0928
BTS0011,KNB0022
LMF0980,KNB0022
NHE0919,HDH0928
KMB0922,HDH0928
JCR0921,HDH0928
LBF0214,ARL0034
HVB0037,ARL0034
LJB0826,TVS0050
NCO0666,TVS0050
DDA0476,KPR0497
ERH0449,NUL0471
HCV0478,NUL0471
CMS0454,NUL0471
AHC0142,CKH0144
BAM0611,CAA0612
WVB0539,CAA0612
BAM0611,LEM0605
EHB0420,AHM0410
CNM0800,ASB0796
SMB0804,ASB0796
MHA0798,ASB0796
SOF0808,AQD0820
CEJ0109,AQD0820
VFM0814,AQD0820
WTF0387,MPT0376
RJM0381,MPT0376
RBB0485,NAH0503
LQC0479,NAH0503
CKB0482,NAH0503
CMM0487,NAH0503
MLG0475,OKB0439
BWH0813,LJT0817
SGG0787,LJT0817
TQS0212,NWK0215
SJO0209,NWK0215
DTT0076,RHY0079
VSS0154,VMJ0147
LRR0148,VMJ0147
SAA0999,TDJ0998
FDE0117,TDJ0998
SJO0209,RNP0211
TQS0212,RNP0211
LBF0214,RNP0211
TVS0050,DLM0051
DSB0731,RHO0732
JMW0638,XRS0633
XWD0923,FIR0920
JMC0925,FIR0920
ATP0662,EDA0684
OLW0689,EDA0684
ESR0693,EDA0684
BTN0061,XBN0229
NNS0059,XBN0229
IMP0530,ARD0509
HLH0512,ARD0509
EWH0191,WBC0192
BWP0202,WBC0192
RGH0728,CQH0730
MIC0726,CQH0730
GZC0735,CQH0730
OLF0504,DDA0476
CMM0487,DDA0476
MDM0625,DMM0623
LEM0605,AJN0607
DRR0242,TMA0069
SAK0375,BNG0237
VIA0063,BNG0237
HGG0240,BNG0237
KJS0618,CAB0614
JAD0609,CAB0614
RCC0617,JAD0609
CKD0680,LIM0674
IBM0671,LIM0674
MLP0668,LIM0674
KQS0415,NDM0417
RGN0408,NDM0417
HKB0418,NDM0417
HIA0414,NDM0417
EHB0420,NDM0417
DEB0782,UAD0771
JSA0775,UAD0771
NKP0236,WSR0241
VIA0063,WSR0241
DPM0423,HRB0351
KJG0910,JML0909
CRK0916,NHE0919
RAW0915,NHE0919
JCR0921,NHE0919
CMB0912,MMG0943
IRM0931,MMG0943
MBW0809,IWM0816
NKH0807,IWM0816
IRM0931,CAH0936
JDB0169,EMS0317
COM0321,EMS0317
BBG0325,EMS0317
JNA0559,JFC0557
KSH0569,JFC0557
WIQ0567,JFC0557
MMB0488,CTW0500
NMC0486,CTW0500
DBB0384,DLS0383
MPT0376,DLS0383
ASL0378,DLS0383
NOB0181,CCH0182
CGF0337,CCH0182
CLS0296,CCH0182
AAE0190,YIC0195
HDD0789,ZJE0857
GRM0868,ZJE0857
PLH0862,ZJE0857
ASL0378,WTF0387
EBC0390,WTF0387
DTP0379,WTF0387
MTB0620,BJW0619
BMT0528,ILJ0526
ASS0517,ILJ0526
PKB0429,RJM0381
EBC0390,RJM0381
BTW0005,RDM0115
FDE0117,RDM0115
GTD0116,RDM0115
KKS0119,RDM0115
CMB0912,JBM0350
AIP0394,JBM0350
CMB0912,SBH0537
DOP0562,SBH0537
MKS0204,WBC0192
RVF0201,WBC0192
EWH0191,WBC0192
ONL0276,OMS0101
ATF0274,OMS0101
MOH0273,OMS0101
CCW0031,LBF0214
NWK0215,LBF0214
LRR0148,VMJ0147
IEB0153,VMJ0147
TVS0006,VMJ0147
CHG0146,VMJ0147
SBN0866,OCS0865
FHO0630,LOF0311
SSR0278,RHY0079
HCL0113,RHY0079
BMM0112,DIB0285
HAC0282,DIB0285
HCL0113,DIB0285
EMW0105,DIB0285
VFM0814,BWH0813
TQS0212,BWH0813
HKR0628,FHO0630
GBM0603,FHO0630
BEH0615,FHO0630
MGS0974,AOB0019
BXJ0010,AOB0019
SDF0017,AOB0019
BEH0615,CAB0614
GBM0603,CAB0614
IMB0481,DDA0476
SBN0866,MKP0861
CCM0855,MKP0861
CCR0863,MKP0861
DGW0752,GQP0743
WIF0691,IAR0694
ESR0693,IAR0694
COM0321,HKI0171
BER0314,HKI0171
TUC0632,HKI0171
HKI0171,LOF0311
SDO0170,LOF0311
WBC0315,LOF0311
NAF0326,LOF0311
AAV0450,BSS0463
QPM0727,VCY0751
HDL0748,VCY0751
KJS0618,BAM0611
HKR0628,BAM0611
MSZ0310,JCR0172
JRG0207,JCR0172
KCS0173,JCR0172
FQA0854,SBN0866
KAT0489,SBN0495
JZD0888,SBN0495
MDM0625,BAM0611
NNA0610,BAM0611
SCF0608,BAM0611
WLV0566,WIQ0567
DAG0558,WIQ0567
JNA0559,WIQ0567
BBH0810,SGG0787
GRC0145,LRR0148
SEJ0677,ESJ0670
SIJ0661,ESJ0670
BMG0917,RAW0915
AKC0924,RAW0915
DPM0423,SOG0411
DRR0162,MBJ0312
AKK0329,TAP0551
VMJ0546,TAP0551
SMY0792,TLM0797
OCB0805,TLM0797
EMW0105,BLB0114
FHO0630,CAB0614
PPF0435,HWW0436
OKB0439,HWW0436
PID0426,HWW0436
BHC0665,SBK0161
ETR0177,SBK0161
DCC0160,SBK0161
CIM0926,JCR0921
XWD0923,JCR0921
TRK0914,JCR0921
FIR0920,JCR0921
ATF0274,JMK0099
NWT0098,JMK0099
LAF0991,RHL0992
BRM0995,RHL0992
CSH0626,AJN0607
MDM0625,AJN0607
LRR0148,BWH0813
LJT0817,BWH0813
BJH0811,BWH0813
LCC0819,BWH0813
LAM0911,RAW0915
IYB0918,RAW0915
MKL0941,RAW0915
CHG0146,GRC0145
WPE0538,JHP0583
WDV0573,JHP0583
HAV0121,COF0120
KCO0122,COF0120
TLK0993,COF0120
PRM0740,DSB0731
DGW0752,DSB0731
BRB0355,FRL0511
CCW0524,FRL0511
GCS0518,FRL0511
ASG0692,RKF0164
FKB0163,RKF0164
HJA0018,MYD0978
SDF0017,MYD0978
MGS0974,MYD0978
AIH0675,ESJ0670
IBM0671,ESJ0670
ORM0669,ESJ0670
BTL0226,GAF0060
SRS0231,GAF0060
HAD0246,PID0426
DGF0443,PID0426
MSS0001,TVS0006
SXM0895,JML0909
XHG0902,JML0909
LAP0338,CTR0341
OKC0107,CTR0341
AAE0190,WBC0192
HKF0831,CHM0821
FRL0511,MJM0510
AJN0607,DMM0623
MDH0580,YCE0983
DMM0623,BEH0615
WVB0539,BEH0615
HKR0628,BEH0615
HSB0196,CSP0197
TOR0193,CSP0197
AAE0190,CSP0197
ORG0339,CTR0341
JSH0330,CTR0341
HKR0628,GBM0603
BAM0611,GBM0603
AJN0607,GBM0603
AMD0077,HCM0267
LDB0090,HCM0267
RMS0266,HCM0267
KJA0152,IEB0153
VMJ0147,IEB0153
MIM0712,IRT0491
YEV0793,SBQ0786
CNM0800,SBQ0786
ZSB0649,GQF0659
DCC0160,KBG0549
KNW0644,KKS0119
FDE0117,KKS0119
AHC0142,KKS0119
ALC0788,WPE0538
SHW0578,WPE0538
TJG0582,WPE0538
AMH0794,CNM0800
TLM0797,CNM0800
CJF0802,CNM0800
IRM0931,JGM0934
KAT0270,GKO0078
DTT0076,GKO0078
SAC0687,GKO0078
KCS0173,WBC0315
PEV0323,WBC0315
MSZ0310,WBC0315
LOF0311,WBC0315
BWP0202,WBC0192
MKS0204,WBC0192
CIM0271,ATF0274
IWM0816,ACV0812
QNF0205,WBC0192
MKS0204,WBC0192
EWH0191,WBC0192
CSC0217,CCA0046
JGT0221,CCA0046
EIS0041,CCA0046
ZMC0284,CCA0046
NLO0131,SCP0130
ABH0663,SCP0130
NRF0137,SCP0130
IIL0513,FRL0511
ADD0846,AJR0319
AMR0400,AMW0392
JBM0350,AMW0392
WTR0563,LDD0560
VAA0087,RJB0088
LEM0605,RKD0604
MKL0941,OBH0499
BLB0114,RVF0201
BAL0044,QNP0216
BBS0039,QNP0216
JGT0221,QNP0216
LRR0148,CHG0146
RUM0880,BAH0875
NSS0876,BAH0875
ZDW0859,BAH0875
AMR0318,MCJ0324
ACC0042,MCJ0324
BTS0011,WKD0013
NJB0243,TEB0251
HSB0196,SAT0194
MMB0488,LQC0479
CBG0490,LQC0479
BTS0011,WKD0013
AOS0987,WKD0013
AMM0014,WKD0013
OKC0107,CEJ0109
ZMC0284,CEJ0109
DIB0285,CEJ0109
RVF0201,MKS0204
CRD0624,BJW0619
CPG0322,RTO0313
WBC0315,RTO0313
NAF0033,FLM0213
RVF0201,BWP0202
MKS0204,BWP0202
JJM0203,BWP0202
BSH0445,DGF0443
IJM0444,DGF0443
JKB0126,TDJ0998
KBL0260,ABC0253
OLB0749,JPW0741
VIA0063,KRL0062
ALD0544,BMC0547
THR0873,RLG0856
HDL0748,GCC0744
MAD0753,GCC0744
LJT0817,MBW0809
ACV0812,MBW0809
NKH0807,MBW0809
KCB0815,MBW0809
CGA0629,AIM0627
OYM0026,CRO0027
RUM0880,KBS0874
JDC0030,FBA0348
DLF0377,WTF0387
DBG0261,XHW0498
JPA0667,CKD0680
DAL0673,CKD0680
SEJ0677,CKD0680
RDM0150,MAH0149
CBG0490,JXH0493
ARB0834,JXH0493
XHW0498,JXH0493
BJH0354,JXH0493
WSR0241,HJS0072
IKR0401,BTR0403
WDD0366,JLM0364
KRV0372,JLM0364
QRM0739,DGW0752
ATF0274,JMK0099
LFS0071,VIA0063
KPC0073,VIA0063
LNR0656,TUC0632
CRD0624,BAM0611
CAA0612,BAM0611
RCC0617,BAM0611
OCS0865,RUM0880
KPC0073,CCL0068
WKF0012,HPM0986
AOS0987,OYM0026
WKD0013,OYM0026
CRO0027,OYM0026
CAB0614,CGA0629
JBD0616,CGA0629
KJS0618,CGA0629
HVB0037,RNP0211
SLB0049,TVS0050
SGG0787,TVS0050
AHC0142,CKH0144
FRB0023,SGM0021
GCR0554,NRD0548
DTT0076,GKO0078
MAH0149,RDM0150
LHN0151,RDM0150
HKR0628,LCD0622
IIW0249,SSG0250
KVT0028,DLH0029
BLB0114,HAC0282
NMS0280,HAC0282
EGK0893,HAC0282
KAT0489,OLF0504
BER0314,COM0321
CAA0612,TET0621
EGD0409,DPM0423
AIM0627,JJH0613
PES0085,RSC0089
CCR0863,KKW0879
SVS0871,KKW0879
CCM0855,KKW0879
DMM0623,KJS0618
HRL0540,ETR0177
GNS0178,ETR0177
BRB0355,ETR0177
SBK0161,ETR0177
GNS0178,ETR0177
BVC0790,ETR0177
BHC0665,ETR0177
THR0873,PLH0862
IJW0851,PLH0862
CLS0296,HDH0928
MES0407,JIG0128
KNB0022,SGM0021
RZC0746,DSB0731
GLR0975,TEM0977
AOB0019,TEM0977
BKW0374,KJP0371
AKW0167,IDO0176
JGM0934,VEB0935
WVB0539,VEB0935
FHS0837,ABM0845
SSJ0784,LNR0656
LOF0311,MCJ0324
WKD0013,BTS0011
FRB0023,BTS0011
AMM0014,BTS0011
CAA0612,DBB0384
DLF0377,DBB0384
EMW0105,OKC0107
NKH0807,VFM0814
TLK0993,HAD0246
MAE0331,SSS0345
CRO0027,WKD0013
BXJ0010,WKD0013
AQD0820,LJT0817
ONL0276,CAM0102
CIM0271,CAM0102
WBC0192,QNF0205
BER0314,MBJ0312
JDB0169,MBJ0312
PEV0323,MBJ0312
CCM0855,SBN0866
